Brand,Store Number,Country,Longitude,Latitude
Starbucks,47370-257954,AD,1.53,42.51
Starbucks,22331-212325,AE,55.47,25.42
Starbucks,47089-256771,AE,55.47,25.39
Starbucks,22126-218024,AE,54.38,24.48
Starbucks,17127-178586,AE,54.54,24.51
Starbucks,17688-182164,AE,54.49,24.4
Starbucks,18182-182165,AE,54.49,24.4
Starbucks,23359-229184,AE,54.61,24.46
Starbucks,30781-99022,AE,55.69,24.19
Starbucks,20423-205465,AE,54.38,24.48
Starbucks,20424-205466,AE,54.34,24.47
Starbucks,1579-122101,AE,54.37,24.49
Starbucks,32595-122105,AE,55.69,24.19
Starbucks,24191-236428,AE,54.7,24.3
Starbucks,24604-238367,AE,54.6,24.48
Starbucks,32029-110804,AE,55.74,24.21
Starbucks,29560-238539,AE,54.34,24.47
Starbucks,32239-100001,AE,54.35,24.47
Starbucks,31719-103601,AE,54.37,24.47
Starbucks,20008-200004,AE,54.38,24.48
Starbucks,32767-131566,AE,54.51,24.42
Starbucks,3886-141408,AE,54.35,24.46
Starbucks,29539-254261,AE,54.66,24.41
Starbucks,28809-251348,AE,54.41,24.5
Starbucks,34262-62540,AE,54.32,24.47
Starbucks,3178-141407,AE,54.57,24.35
Starbucks,34260-17877,AE,55.62,24.21
Starbucks,21605-213406,AE,54.44,24.54
Starbucks,1935-141406,AE,54.34,24.47
Starbucks,20113-195784,AE,54.94,24.9
Starbucks,34227-33225,AE,54.37,24.5
Starbucks,17361-180588,AE,54.6,24.4
Starbucks,15938-165686,AE,55.77,24.48
Starbucks,16453-170544,AE,54.44,24.43
Starbucks,24085-235545,AE,54.61,24.46
Starbucks,24932-239347,AE,54.39,24.46
Starbucks,18469-188844,AE,54.39,24.43
Starbucks,28810-251346,AE,54.66,24.41
Starbucks,1897-120044,AE,55.53,23.85
Starbucks,20772-207664,AE,54.37,24.47
Starbucks,2176-143834,AE,54.37,24.52
Starbucks,18530-169885,AE,54.37,24.48
Starbucks,24931-239348,AE,54.37,24.47
Starbucks,29306-253248,AE,55.4,24.12
Starbucks,17291-169884,AE,55.29,25.24
Starbucks,32640-131563,AE,55.65,24.19
Starbucks,34332-97778,AE,55.73,24.24
Starbucks,16257-166109,AE,55.39,25.1
Starbucks,1926-141411,AE,55.81,24.16
Starbucks,24510-238164,AE,55.69,24.21
Starbucks,17788-183965,AE,55.8,24.13
Starbucks,22963-226644,AE,54.47,24.41
Starbucks,23197-228761,AE,54.63,24.29
Starbucks,23549-231166,AE,54.69,24.39
Starbucks,15060-156348,AE,55.23,25.05
Starbucks,34291-80114,AE,55.23,25.17
Starbucks,27072-246650,AE,55.6,24.78
Starbucks,18751-188904,AE,55.35,25.25
Starbucks,18857-187024,AE,55.31,25.27
Starbucks,28908-251804,AE,55.16,25.1
Starbucks,32250-107405,AE,55.27,25.19
Starbucks,34211-17922,AE,55.28,25.21
Starbucks,34315-87671,AE,55.15,25.08
Starbucks,23213-228760,AE,55.35,25.25
Starbucks,30780-154130,AE,55.2,25.12
Starbucks,25406-240945,AE,55.4,25.23
Starbucks,32329-111864,AE,55.28,25.19
Starbucks,32741-141410,AE,55.12,25.13
Starbucks,17787-183964,AE,55.14,25.08
Starbucks,3183-143827,AE,55.24,25.17
Starbucks,32571-107873,AE,55.13,25.07
Starbucks,23973-234507,AE,55.31,25.27
Starbucks,32144-123448,AE,55.28,25.19
Starbucks,34219-17920,AE,55.32,25.27
Starbucks,32476-106835,AE,55.13,25.07
Starbucks,7073-204444,AE,55.12,25.13
Starbucks,18026-187444,AE,55.23,25.19
Starbucks,34284-65720,AE,55.25,25.22
Starbucks,32117-116426,AE,55.17,25.1
Starbucks,20347-204885,AE,55.31,25.27
Starbucks,49595-270099,AE,55.33,25.26
Starbucks,32292-111724,AE,55.27,25.2
Starbucks,4141-147544,AE,55.24,25.05
Starbucks,21600-213424,AE,55.35,25.27
Starbucks,47514-254743,AE,55.19,25.11
Starbucks,26471-239345,AE,55.19,25.03
Starbucks,25879-242844,AE,55.42,25.23
Starbucks,6137-116711,AE,55.24,25.2
Starbucks,3173-122109,AE,55.46,25.26
Starbucks,23212-228759,AE,55.35,25.25
Starbucks,34335-97976,AE,55.12,25.04
Starbucks,1801-136467,AE,55.28,25.2
Starbucks,31199-104340,AE,55.33,25.25
Starbucks,31853-109684,AE,55,24.92
Starbucks,28811-251347,AE,55.28,25.24
Starbucks,6106-148051,AE,55.42,25.13
Starbucks,34317-95971,AE,55.19,25.13
Starbucks,32269-114734,AE,55.28,25.21
Starbucks,34337-97975,AE,55.12,25.05
Starbucks,4143-147546,AE,55.41,25.22
Starbucks,30954-99024,AE,55.33,25.23
Starbucks,1609-136468,AE,55.28,25.2
Starbucks,34249-62099,AE,55.28,25.25
Starbucks,23863-233552,AE,55.44,25.04
Starbucks,31338-103600,AE,55.43,25.23
Starbucks,34209-17918,AE,55.33,25.25
Starbucks,34210-16835,AE,55.26,25.23
Starbucks,28258-250593,AE,55.27,25.23
Starbucks,32523-106836,AE,55.13,25.07
Starbucks,24927-239346,AE,55.31,25.27
Starbucks,32328-123449,AE,55.28,25.22
Starbucks,34292-76574,AE,55.09,24.99
Starbucks,26743-245288,AE,55.2,25.12
Starbucks,26048-243344,AE,55.2,25.12
Starbucks,32714-122107,AE,55.31,25.23
Starbucks,1968-136466,AE,55.14,25.08
Starbucks,27950-248318,AE,55.31,25.27
Starbucks,32425-106837,AE,55.14,25.08
Starbucks,32457-106838,AE,55.14,25.08
Starbucks,48097-261445,AE,55.16,25.11
Starbucks,1577-123446,AE,55.35,25.25
Starbucks,3169-123447,AE,55.35,25.25
Starbucks,34336-97974,AE,55.12,25.04
Starbucks,48522-263630,AE,55,24.54
Starbucks,24139-236004,AE,55.27,25.2
Starbucks,34320-74020,AE,55.3,25.25
Starbucks,15976-165685,AE,55.21,25.1
